Date,Min Temp (F),Max Temp (F)
2019-01-01,43,59
2019-01-02,41,61
2019-01-03,43,63
2019-01-04,45,65
2019-01-05,49,59
2019-01-06,49,61
2019-01-07,49,59
2019-01-08,50,65
2019-01-09,50,61
2019-01-10,50,63
2019-01-11,50,61
2019-01-12,52,59
2019-01-13,49,61
2019-01-14,50,54
2019-01-15,50,56
2019-01-16,52,61
2019-01-17,52,61
2019-01-18,50,63
2019-01-19,52,70
2019-01-20,56,67
2019-01-21,52,63
2019-01-22,47,65
2019-01-23,49,65
2019-01-24,50,70
2019-01-25,52,72
2019-01-26,52,74
2019-01-27,56,72
2019-01-28,54,68
2019-01-29,56,70
2019-01-30,54,67
2019-01-31,54,61
2019-02-01,52,59
2019-02-02,58,59
2019-02-03,52,58
2019-02-04,50,58
2019-02-04,50,58
2019-02-05,50,54
2019-02-06,49,61
2019-02-07,52,65
2019-02-08,45,58
2019-02-09,45,58
2019-02-10,47,56
2019-02-11,41,59
2019-02-12,45,61
2019-02-13,50,56
2019-02-14,56,59
2019-02-15,50,59
2019-02-16,50,58
2019-02-17,47,56
2019-02-18,47,59
2019-02-19,43,56
2019-02-20,43,56
2019-02-21,43,56
2019-02-22,40,58
2019-02-23,43,58
2019-02-24,45,63
2019-02-25,49,61
2019-02-26,49,65
2019-02-27,52,67
2019-02-28,52,70
2019-03-01,54,67
2019-03-02,54,61
2019-03-03,49,61
2019-03-04,52,65
2019-03-05,56,69
2019-03-06,55,60
2019-03-07,55,63
2019-03-08,45,59
2019-03-09,51,60
2019-03-10,51,57
2019-03-10,51,57
2019-03-11,54,67
2019-03-12,57,72
2019-03-13,59,71
2019-03-14,59,76
2019-03-15,57,77
2019-03-16,63,84
2019-03-17,66,87
2019-03-18,69,80
2019-03-19,59,70
2019-03-20,59,66
2019-03-21,55,63
2019-03-22,55,66
2019-03-23,59,67
2019-03-24,58,73
2019-03-25,62,77
2019-03-26,61,75
2019-03-27,60,71
2019-03-28,54,69
2019-03-29,60,76
2019-03-30,65,83
2019-03-31,67,87
2019-04-01,68,83
2019-04-02,61,71
2019-04-03,59,67
2019-04-04,59,62
2019-04-05,58,66
2019-04-06,60,72
2019-04-07,62,83
2019-04-08,70,89
2019-04-09,65,81
2019-04-10,60,77
2019-04-11,66,76
2019-04-12,62,78
2019-04-13,67,78
2019-04-13,67,78
2019-04-14,64,74
2019-04-15,58,68
2019-04-16,55,67
2019-04-17,63,78
2019-04-18,70,85
2019-04-19,66,81
2019-04-20,60,65
2019-04-21,59,69
2019-04-22,62,82
2019-04-23,66,85
2019-04-24,68,80
2019-04-25,69,81
2019-04-26,65,76
2019-04-27,59,72
2019-04-28,59,73
2019-04-29,60,68
2019-04-30,59,66
2019-05-01,57,71
2019-05-02,63,76
2019-05-03,65,77
2019-05-04,63,75
2019-05-05,60,71
2019-05-06,60,68
2019-05-07,59,69
2019-05-08,60,70
2019-05-09,60,70
2019-05-10,61,70
2019-05-11,63,77
